FID,lat1,lon1,lat2,lon2
705,20.402,109.935,20.412,109.945
706,20.402,110.015,20.412,110.025
707,20.402,110.025,20.412,110.035
708,20.402,110.035,20.412,110.045
709,20.402,110.045,20.412,110.055
710,20.402,110.055,20.412,110.065
711,20.402,110.065,20.412,110.075
712,20.402,110.075,20.412,110.085
713,20.402,110.085,20.412,110.095
714,20.402,110.095,20.412,110.105
715,20.402,110.105,20.412,110.115
716,20.402,110.115,20.412,110.125
717,20.402,110.125,20.412,110.135
718,20.402,110.135,20.412,110.145
719,20.402,110.145,20.412,110.155
720,20.402,110.155,20.412,110.165
721,20.402,110.165,20.412,110.175
722,20.402,110.175,20.412,110.185
723,20.402,110.185,20.412,110.195
724,20.402,110.195,20.412,110.205
725,20.402,110.205,20.412,110.215
726,20.402,110.215,20.412,110.225
727,20.402,110.225,20.412,110.235
728,20.402,110.235,20.412,110.245
729,20.402,110.245,20.412,110.255
730,20.402,110.255,20.412,110.265
731,20.402,110.265,20.412,110.275
732,20.402,110.275,20.412,110.285
733,20.402,110.285,20.412,110.295
734,20.402,110.295,20.412,110.305
735,20.402,110.305,20.412,110.315
736,20.402,110.315,20.412,110.325
737,20.402,110.325,20.412,110.335
738,20.402,110.335,20.412,110.345
739,20.402,110.345,20.412,110.355
740,20.402,110.355,20.412,110.365
741,20.402,110.365,20.412,110.375
742,20.402,110.375,20.412,110.385
743,20.402,110.385,20.412,110.395
744,20.402,110.395,20.412,110.405
745,20.402,110.405,20.412,110.415
746,20.402,110.415,20.412,110.425
747,20.402,110.425,20.412,110.435
748,20.402,110.435,20.412,110.445
749,20.402,110.445,20.412,110.455
750,20.402,110.455,20.412,110.465
751,20.402,110.465,20.412,110.475
752,20.402,110.475,20.412,110.485
753,20.412,109.895,20.422,109.905
754,20.412,109.905,20.422,109.915
755,20.412,109.915,20.422,109.925
756,20.412,109.925,20.422,109.935
757,20.412,110.015,20.422,110.025
758,20.412,110.025,20.422,110.035
759,20.412,110.035,20.422,110.045
760,20.412,110.045,20.422,110.055
761,20.412,110.055,20.422,110.065
762,20.412,110.065,20.422,110.075
763,20.412,110.075,20.422,110.085
764,20.412,110.085,20.422,110.095
765,20.412,110.095,20.422,110.105
766,20.412,110.105,20.422,110.115
767,20.412,110.115,20.422,110.125
768,20.412,110.125,20.422,110.135
769,20.412,110.135,20.422,110.145
770,20.412,110.145,20.422,110.155
771,20.412,110.155,20.422,110.165
772,20.412,110.165,20.422,110.175
