"πÿ¡™ID","Ã®∑Á±‡∫≈","÷–Œƒ√˚","”¢Œƒ√˚","‘§±® ±º‰( ¿ΩÁ ±)","‘§±® ±¥Œ£®–° ±£©","«ø∂»","Œ≥∂»","æ≠∂»","∑ÁÀŸ(m/s)","’Û∑Á£®m/s£©","∆¯—π£®∞Ÿ≈¡£©","“∆œÚ(∂»)","“∆ÀŸ(km/h)","6º∂∑Á»¶(km)","7º∂∑Á»¶(km)","8º∂∑Á»¶(km)","10º∂∑Á»¶(km)"
"TSID","TCID","TSCNAME","TSENAME","DDATETIME","LEADTIME","TCRANK","LATITUDE","LONGITUDE","WINDSPEED","GUST","PRESSURE","DIRECTION","SPEED","RR06","RR07","RR08","RR10"
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","36","TY","19.60","112.30","35","45","970","290","18","360","260","160","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","48","TY","20.40","110.20","35","45","970","291","19","360","260","160","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","60","STS","21.30","108.50","30","38","980","300","17","340","240","140","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 9:00:00","72","TS","22.10","107.30","18","23","996","305","12","280","180","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","06","STS","17.70","116.90","28","36","982","301","21","380","280","180",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","12","STS","18.30","115.80","30","38","980","299","22","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","18","TY","18.80","114.70","33","43","975","293","20","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","24","TY","19.10","113.70","35","45","970","292","19","430","320","220","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","36","TY","19.70","111.70","38","48","965","287","18","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","48","TY","20.70","109.70","35","45","970","296","19","430","320","220","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","60","STS","21.50","108.10","30","38","980","300","16","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 12:00:00","72","TD","22.20","107.10","16","21","1000","302","10","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","06","STS","17.70","116.10","28","36","982","297","20","380","280","180",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","12","STS","18.30","114.90","30","38","980","297","23","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","18","TY","18.80","113.90","33","43","975","297","19","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","24","TY","19.30","112.60","35","45","970","293","24","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","36","TY","20.20","110.70","38","48","965","295","18","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","48","TY","21.20","108.90","35","45","970","300","18","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","60","STS","22.10","107.50","28","36","982","306","14","380","280","180",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 15:00:00","72","TD","23.50","106.90","14","19","1002","338","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","06","STS","18.30","115.50","28","36","982","297","19","380","280","180",""
