TSID,TCID,TSCNAME,TSENAME,DDATETIME,LEADTIME,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
117,1417,????,KALMAEGI,9/15/2014 15:00,12,STY,20.4,110.8,45,55,950,299,27,600,480,350,150
117,1417,????,KALMAEGI,9/15/2014 15:00,24,TY,21.5,107.9,38,46,965,291,26,560,420,300,120
117,1417,????,KALMAEGI,9/15/2014 15:00,36,TS,22.2,105.2,18,23,998,286,21,280,160,,
117,1417,????,KALMAEGI,9/15/2014 15:00,48,TD,22.6,101.6,14,19,1004,276,31,,,,
117,1417,????,KALMAEGI,9/15/2014 18:00,12,STY,20.7,110.2,42,52,955,300,27,590,480,350,140
117,1417,????,KALMAEGI,9/15/2014 18:00,24,TY,21.7,107.1,33,41,975,290,28,530,420,300,90
117,1417,????,KALMAEGI,9/15/2014 18:00,36,TS,22.3,104.6,18,23,998,283,22,280,160,,
117,1417,????,KALMAEGI,9/15/2014 18:00,48,TD,22.7,101.7,14,19,1004,278,25,,,,
117,1417,????,KALMAEGI,9/15/2014 21:00,12,TY,21.1,109.1,38,46,965,298,30,540,400,310,120
117,1417,????,KALMAEGI,9/15/2014 21:00,24,STS,21.9,106,28,36,984,285,27,360,270,180,
117,1417,????,KALMAEGI,9/15/2014 21:00,36,TD,22.4,103.2,16,21,1000,280,24,,,,
117,1417,????,KALMAEGI,9/15/2014 21:00,48,TD,22.9,100.5,14,19,1002,281,23,,,,
117,1417,????,KALMAEGI,9/16/2014 0:00,12,TY,21.1,108.3,35,43,971,294,31,500,420,240,100
117,1417,????,KALMAEGI,9/16/2014 0:00,24,TS,21.8,105.1,20,25,996,284,28,300,190,,
117,1417,????,KALMAEGI,9/16/2014 0:00,36,TD,22.2,101.5,12,17,1004,278,30,,,,
117,1417,????,KALMAEGI,9/16/2014 2:00,12,TY,21.1,108.3,35,43,971,293,23,500,420,240,100
117,1417,????,KALMAEGI,9/16/2014 2:00,24,TS,21.8,105.1,20,25,996,283,28,300,190,,
117,1417,????,KALMAEGI,9/16/2014 2:00,36,TD,22.2,101.5,12,17,1004,277,31,,,,
117,1417,????,KALMAEGI,9/16/2014 3:00,12,TY,21.4,107.4,35,45,970,294,28,,,,
117,1417,????,KALMAEGI,9/16/2014 3:00,24,TS,21.9,105,20,25,996,282,21,300,190,,
117,1417,????,KALMAEGI,9/16/2014 3:00,36,TD,22.1,102.2,12,17,1004,274,24,,,,
117,1417,????,KALMAEGI,9/16/2014 6:00,12,TY,21.4,106.8,33,41,975,291,28,430,320,220,90
117,1417,????,KALMAEGI,9/16/2014 6:00,24,TS,21.9,104.3,20,25,996,280,22,300,190,,
117,1417,????,KALMAEGI,9/16/2014 6:00,36,TD,22.1,101.9,12,17,1004,275,20,,,,
117,1417,????,KALMAEGI,9/16/2014 9:00,12,STS,21.8,105.6,25,33,989,288,32,350,240,140,
117,1417,????,KALMAEGI,9/16/2014 9:00,24,TD,22.3,101.7,15,20,1001,277,33,,,,
117,1417,????,KALMAEGI,9/16/2014 12:00,12,STS,22,104.9,25,33,989,286,32,350,240,140,
117,1417,????,KALMAEGI,9/16/2014 12:00,24,TD,22.1,101.9,12,17,1004,272,25,,,,
117,1417,????,KALMAEGI,9/16/2014 15:00,12,TS,22,104.2,20,25,996,283,35,300,190,,
117,1417,????,KALMAEGI,9/16/2014 15:00,24,TD,22.4,100.8,12,17,1004,276,28,,,,
117,1417,????,KALMAEGI,9/16/2014 18:00,12,TS,22.2,103.4,20,25,996,278,28,300,190,,
117,1417,????,KALMAEGI,9/16/2014 18:00,24,TD,22.4,100.3,12,17,1004,274,26,,,,
